citekey,cite_count,title,cite_by
yi2023edgemoe,2,Edgemoe: Fast on-device inference of moe-based large language models,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(7);A Survey on MoE in LLM(121)
zuo2021taming,1,Taming sparsely activated transformer with stochastic experts,A Survey on MoE in LLM(81)
zoph2022st,1,St-moe: Designing stable and transferable sparse expert models,A Survey on MoE in LLM(35)
zhu2024llama,1,Llama-moe: Building mixture-of-experts from llama with continual pre-training,A Survey on MoE in LLM(49)
zhu2023sira,1,Sira: Sparse mixture of low rank adaptation,A Survey on MoE in LLM(95)
zhu2023minigpt,1,Minigpt-4: Enhancing vision-language understanding with advanced large language models,A Survey on MoE in LLM(10)
zhu2022uni,1,Uni-perceiver-moe: Learning sparse generalist models with conditional moes,A Survey on MoE in LLM(78)
zhou2023brainformers,1,Brainformers: Trading simplicity for efficiency,A Survey on MoE in LLM(86)
zhou2022mixture,1,Mixture-of-experts with expert choice routing,A Survey on MoE in LLM(85)
zhou2022learning,1,Learning to prompt for vision-language models,A Survey on MoE in LLM(9)
zhong2024lory,1,Lory: Fully differentiable mixture-of-experts for autoregressive language model pre-training,A Survey on MoE in LLM(39)
zheng2025review,1,"A review on edge large language models: Design, execution, and applications",The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(6)
zheng2023pit,1,Pit: Optimization of dynamic sparse deep learning models via permutation invariant transformation,A Survey on MoE in LLM(114)
zhang2025communication,1,Communication-efficient distributed on-device llm inference over wireless networks,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(13)
zhang2024t,1,T-REX: Mixture-of-Rank-One-Experts with Semantic-aware Intuition for Multi-task Large Language Model Finetuning,A Survey on MoE in LLM(98)
zhang2024mpmoe,1,Mpmoe: Memory efficient moe for pre-trained models with adaptive pipeline parallelism,A Survey on MoE in LLM(117)
zhang2024edgeshard,1,Edgeshard: Efficient llm inference via collaborative edge computing,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(1)
zhang2023robust,1,Robust mixture-of-expert training for convolutional neural networks,A Survey on MoE in LLM(122)
zhang2022moefication,1,Moefication: Transformer feed-forward layers are mixtures of experts,A Survey on MoE in LLM(48)
zhang2022mixture,1,Mixture of attention heads: Selecting attention heads per token,A Survey on MoE in LLM(88)
zhai2023smartmoe,1,$\{$SmartMoE$\}$: Efficiently training $\{$Sparsely-Activated$\}$ models through combining offline and online parallelization,A Survey on MoE in LLM(111)
zadouri2023pushing,1,Pushing mixture of experts to the limit: Extremely parameter efficient moe for instruction tuning,A Survey on MoE in LLM(40)
yuksel2012twenty,1,Twenty years of mixture of experts,A Survey on MoE in LLM(31)
yoo2024hyperclova,1,Hyperclova x technical report,A Survey on MoE in LLM(13)
ye2024galaxy,1,Galaxy: A resource-efficient collaborative edge ai system for in-situ transformer inference,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(2)
yao2024exploiting,1,Exploiting inter-layer expert affinity for accelerating mixture-of-experts model inference,A Survey on MoE in LLM(115)
yang2021m6,1,M6-t: Exploring sparse expert models and beyond,A Survey on MoE in LLM(68)
xue2024wdmoe,1,Wdmoe: Wireless distributed large language models with mixture of experts,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(8)
xue2024openmoe,1,Openmoe: An early effort on open mixture-of-experts language models,A Survey on MoE in LLM(36)
xue2022one,1,One student knows all experts know: From sparse to dense,A Survey on MoE in LLM(50)
xue2022go,1,Go wider instead of deeper,A Survey on MoE in LLM(56)
xu2024device,1,On-device language models: A comprehensive review,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(3)
xu2023llmcad,1,Llmcad: Fast and scalable on-device large language model inference,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(11)
wu2024yuan,1,Yuan 2.0-m32: Mixture of experts with attention router,A Survey on MoE in LLM(70)
wu2024omni,1,Omni-smola: Boosting generalist multimodal models with soft mixture of low-rank experts,A Survey on MoE in LLM(41)
wu2024mixture,1,Mixture of lora experts,A Survey on MoE in LLM(46)
wu2022residual,1,Residual mixture of experts,A Survey on MoE in LLM(99)
wei2024skywork,1,Skywork-moe: A deep dive into training techniques for mixture-of-experts language models,A Survey on MoE in LLM(65)
wei2022emergent,1,Emergent abilities of large language models,A Survey on MoE in LLM(12)
wang2023fusing,1,Fusing models with complementary expertise,A Survey on MoE in LLM(103)
wang2022adamix,1,Adamix: Mixture-of-adaptations for parameter-efficient model tuning,A Survey on MoE in LLM(42)
vaswani2017attention,1,Attention is all you need,A Survey on MoE in LLM(1)
theis2015generative,1,Generative image modeling using spatial lstms,A Survey on MoE in LLM(21)
team2024gemma,1,Gemma 2: Improving open language models at a practical size,A Survey on MoE in LLM(27)
tang2020progressive,1,Progressive layered extraction (ple): A novel multi-task learning (mtl) model for personalized recommendations,A Survey on MoE in LLM(124)
tan2024scattered,1,Scattered mixture-of-experts implementation,A Survey on MoE in LLM(113)
tan2023sparse,1,Sparse universal transformer,A Survey on MoE in LLM(57)
sukhbaatar2024branch,1,Branch-train-mix: Mixing expert llms into a mixture-of-experts llm,A Survey on MoE in LLM(52)
snowflake2024research,1,"Research. Snowflake Arctic: The best LLM for enterprise AI—efficiently intelligent, truly open",A Survey on MoE in LLM(29)
singh2023hybrid,1,A hybrid tensor-expert-data parallelism approach to optimize mixture-of-experts training,A Survey on MoE in LLM(108)
shen2025will,1,Will llms scaling hit the wall? breaking barriers via distributed resources on massive edge devices,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(5)
shen2024jetmoe,1,Jetmoe: Reaching llama2 performance with 0.1 m dollars,A Survey on MoE in LLM(89)
shen2023moduleformer,1,ModuleFormer: Modularity Emerges from Mixture-of-Experts,A Survey on MoE in LLM(71)
shazeer2017outrageously,1,Outrageously large neural networks: The sparsely-gated mixture-of-experts layer,A Survey on MoE in LLM(24)
shahbaba2009nonlinear,1,Nonlinear models using Dirichlet process mixtures.,A Survey on MoE in LLM(19)
roller2021hash,1,Hash layers for large sparse models,A Survey on MoE in LLM(80)
riquelme2021scaling,1,Scaling vision with sparse mixture of experts,A Survey on MoE in LLM(6)
ren2023pangu,1,Pangu-$\{$$\backslash$Sigma$\}$: Towards trillion parameter language model with sparse heterogeneous computing,A Survey on MoE in LLM(84)
rasmussen2001infinite,1,Infinite mixtures of Gaussian process experts,A Survey on MoE in LLM(18)
raposo2024mixture,1,Mixture-of-depths: Dynamically allocating compute in transformer-based language models,A Survey on MoE in LLM(55)
rajbhandari2022deepspeed,1,Deepspeed-moe: Advancing mixture-of-experts inference and training to power next-generation ai scale,A Survey on MoE in LLM(64)
qu2025mobile,1,Mobile edge intelligence for large language models: A contemporary survey,The MoE-empowered edge LLMS deployment Architecture challenges and opportunities(12)
puigcerver2023sparse,1,From sparse to soft mixtures of experts,A Survey on MoE in LLM(37)
