cidx,citekey,title
1,vaswani2017attention,Attention is all you need
2,brown2020language,Language models are few-shot learners
3,chowdhery2023palm,Palm: Scaling language modeling with pathways
4,achiam2023gpt,Gpt-4 technical report
5,jiang2024survey,A survey on large language models for code generation
6,riquelme2021scaling,Scaling vision with sparse mixture of experts
7,liu2021swin,Swin transformer: Hierarchical vision transformer using shifted windows
8,lu2019vilbert,Vilbert: Pretraining task-agnostic visiolinguistic representations for vision-and-language tasks
9,zhou2022learning,Learning to prompt for vision-language models
10,zhu2023minigpt,Minigpt-4: Enhancing vision-language understanding with advanced large language models
11,kaplan2020scaling,Scaling laws for neural language models
12,wei2022emergent,Emergent abilities of large language models
13,yoo2024hyperclova,Hyperclova x technical report
14,hoffmann2022training,Training compute-optimal large language models
15,jacobs1991adaptive,Adaptive mixtures of local experts
16,jordan1994hierarchical,Hierarchical mixtures of experts and the EM algorithm
17,collobert2001parallel,A parallel mixture of SVMs for very large scale problems
18,rasmussen2001infinite,Infinite mixtures of Gaussian process experts
19,shahbaba2009nonlinear,Nonlinear models using Dirichlet process mixtures.
20,eigen2013learning,Learning factored representations in a deep mixture of experts
21,theis2015generative,Generative image modeling using spatial lstms
22,deisenroth2015distributed,Distributed gaussian processes
23,aljundi2017expert,Expert gate: Lifelong learning with a network of experts
24,shazeer2017outrageously,Outrageously large neural networks: The sparsely-gated mixture-of-experts layer
25,lepikhin2020gshard,Gshard: Scaling giant models with conditional computation and automatic sharding
26,jiang2024mixtral,Mixtral of experts
27,team2024gemma,Gemma 2: Improving open language models at a practical size
29,snowflake2024research,"Research. Snowflake Arctic: The best LLM for enterprise AI—efficiently intelligent, truly open"
30,liu2024deepseek,"Deepseek-v2: A strong, economical, and efficient mixture-of-experts language model"
31,yuksel2012twenty,Twenty years of mixture of experts
32,fedus2022review,A review of sparse expert models in deep learning
33,du2022glam,Glam: Efficient scaling of language models with mixture-of-experts
34,fedus2022switch,Switch transformers: Scaling to trillion parameter models with simple and efficient sparsity
35,zoph2022st,St-moe: Designing stable and transferable sparse expert models
36,xue2024openmoe,Openmoe: An early effort on open mixture-of-experts language models
37,puigcerver2023sparse,From sparse to soft mixtures of experts
38,muqeeth2023soft,Soft merging of experts with adaptive routing
39,zhong2024lory,Lory: Fully differentiable mixture-of-experts for autoregressive language model pre-training
40,zadouri2023pushing,Pushing mixture of experts to the limit: Extremely parameter efficient moe for instruction tuning
41,wu2024omni,Omni-smola: Boosting generalist multimodal models with soft mixture of low-rank experts
42,wang2022adamix,Adamix: Mixture-of-adaptations for parameter-efficient model tuning
43,dou2023loramoe,Loramoe: Revolutionizing mixture of experts for maintaining world knowledge in language model alignment
44,gou2023mixture,Mixture of cluster-conditional lora experts for vision-language instruction tuning
45,luo2024moelora,Moelora: Contrastive learning guided mixture of experts on parameter-efficient fine-tuning for large language models
46,wu2024mixture,Mixture of lora experts
47,komatsuzaki2022sparse,Sparse upcycling: Training mixture-of-experts from dense checkpoints
48,zhang2022moefication,Moefication: Transformer feed-forward layers are mixtures of experts
49,zhu2024llama,Llama-moe: Building mixture-of-experts from llama with continual pre-training
50,xue2022one,One student knows all experts know: From sparse to dense
51,chen2022task,Task-specific expert pruning for sparse mixture-of-experts
52,sukhbaatar2024branch,Branch-train-mix: Mixing expert llms into a mixture-of-experts llm
53,chen2023lifelong,Lifelong language pretraining with distribution-specialized experts
54,antoniak2024mixture,Mixture of tokens: Continuous moe through cross-example aggregation
55,raposo2024mixture,Mixture-of-depths: Dynamically allocating compute in transformer-based language models
56,xue2022go,Go wider instead of deeper
57,tan2023sparse,Sparse universal transformer
58,choi2023smop,Smop: Towards efficient and effective prompt tuning with sparse mixture-of-prompts
59,ma2018modeling,Modeling task relationships in multi-task learning with multi-gate mixture-of-experts
60,nie2021evomoe,Evomoe: An evolutional mixture-of-experts training framework via dense-to-sparse gate
61,wu2024mixture,Mixture of lora experts
